Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	TP	FP	TN	RMSE
TRUE	TRUE	FALSE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3653	100.49	701.24	141	708	1	0.087	13	0.081	1	6	NA	121	75	vanilla_three_step	801.73	0.79	0.44	15	4	19	87.30926580115562
FALSE	TRUE	FALSE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3654	70.2	49.7	106	425	1	0.109	10	0.1	8	5	NA	69	37	vanilla_three_step	119.9	0.75	0.44	15	5	19	94.80472664181977
TRUE	FALSE	FALSE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3655	102.78	587.03	120	426	1	0.085	16	0.062	13	6	NA	87	60	vanilla_three_step	689.81	0.75	0.44	15	5	19	100.39920318408906
FALSE	FALSE	FALSE	TRUE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3656	72.16	54.03	102	276	1	0.065	11	0.08	10	8	NA	56	31	vanilla_three_step	126.19	0.79	0.44	15	4	19	93.68178510677
TRUE	TRUE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3657	90.15	54.77	84	203	1	0.028	12	0.083	11	5	NA	44	27	vanilla_three_step	144.92000000000002	0.81	0.38	13	3	21	89.07315969346647
FALSE	TRUE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3658	62.57	8.04	45	76	1	0.074	8	0.085	3	5	NA	18	9	vanilla_three_step	70.61	0.88	0.41	14	2	20	70.71067811865476
TRUE	FALSE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3659	90.34	23.31	64	134	1	0.047	8	0.048	5	6	NA	31	23	vanilla_three_step	113.65	0.81	0.38	13	3	21	89.07315969346647
FALSE	FALSE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3660	64.96	8.04	45	78	1	0.074	8	0.082	3	5	NA	18	9	vanilla_three_step	73	0.88	0.41	14	2	20	70.71067811865476
TRUE	TRUE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3661	98.8	33.67	79	180	1	0.077	13	0.062	8	8	NA	36	23	vanilla_three_step	132.47	0.82	0.41	14	3	20	84.01680504168058
FALSE	TRUE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3662	69.69	8.07	47	81	1	0.074	8	0.082	3	5	NA	18	9	vanilla_three_step	77.75999999999999	0.88	0.41	14	2	20	70.71067811865476
