UNIPROT	gene_name	significant	logpval	difference
Q8R5J9	Arl6ip5	NA	0.255671	0.302193
Q8R5K2	Usp33	NA	1	0
Q8R5K4	Nol6	NA	0.142884	-0.221111
Q8R5L1	C1qbp	NA	0.453412	-0.463347
Q8R5L3	Vps39	+	0.0332505	0.52559
Q8VBT0	Tmx1	NA	0.83415	-0.247067
Q8VBT6	Apobr	NA	0.117979	-0.42189
Q8VBT9	Aspscr1	NA	0.846629	-0.0919476
Q8VBV3	Exosc2	NA	0.221597	0.259619
Q8VBV7	Cops8	NA	1	0.00417074
Q8VBW5	Bbx	NA	0.833983	NA
Q8VBW6	Nae1	NA	0.264747	0.196014
Q8VBZ3	Clptm1	NA	0.833816	-0.615686
Q8VC03	Eml3	NA	0.501459	0.154389
Q8VC19	Alas1	NA	0.833649	-1.41633
Q8VC28	Akr1c13	NA	0.833482	0.0930853
Q8VC34	Rpap2	NA	0.833316	0.250549
Q8VC52	Rbpms2	NA	1	0
Q8VC65	Nrm	+	0.0140589	0.490963
Q8VC85	Lsm1	NA	0.977036	-0.0167367
Q8VCA8	Scrn2	NA	0.35996	0.167484
Q8VCB1	Ndc1	NA	0.890745	0.086477300000000007
Q8VCD5	Med17	NA	0.210297	-0.277737
Q8VCD7	Kdm4c	+	0.0886026	-0.433487
Q8VCE2	Gpn1	NA	1	0
Q8VCF0	Mavs	NA	0.832983	NA
Q8VCF1	Cant1	NA	0.832816	NA
Q8VCG3	Wdr74	NA	0.26577	-0.260616
Q8VCH6	Dhcr24	NA	0.339449	0.294853
Q8VCH7	Rdh10	NA	0.83265	0.785101
Q8VCH8	Ubxn4	NA	0.297083	-0.445402
Q8VCL2	Sco2	NA	0.239608	-0.245996
Q8VCN9	Tbcc	NA	0.832483	-0.062514
Q8VCP8	Ak6	NA	0.832317	-0.87572
Q8VCS3	Fam20b	NA	0.284733	0.264844
Q8VCS6	Med9	NA	0.832151	NA
Q8VCT3	Rnpep	NA	0.2984	0.265087
Q9QYF9	Ndrg3	NA	0.945282	-0.0253671
Q8VCW8	Acsf2	+	0.0120858	0.742506
Q8VCX5	Micu1	NA	1	0
Q8VCY6	Utp6	NA	0.65527	-0.16411
Q8VD00	Tmem97	+	0.0601917	1.26924
Q8VD04	Gripap1	NA	0.644993	0.0805976
Q8VD58	Evi2b	NA	0.831819	NA
Q8VD65	Pik3r4	NA	0.603844	-0.164344
Q8VD75	Hip1	+	0.00662745	-1.8576
Q8VDC0	Lars2	+	0.0127969	0.539027
Q8VDD5	Myh9	NA	0.509528	-0.0893059
Q8VDF2	Uhrf1	+	0.00380328	-3.15922
Q8VDG3	Parn	+	0.0272919	0.562433
Q8VDG5	Ppcs	NA	0.889282	0.0749868
